,S/No.,Date,Closing Price,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6
28,234,02/07/2019,1310.42,"gold holds steady amid trade worries, but heads for weekly fall",gold climbs on renewed u.s-china trade woes; strong dollar caps gains,gold hovers near one-week low on buoyant dollar,"gold falls to 1-week low on stronger dollar, but holds above $1,300 level",#N/A,#N/A
29,233,02/08/2019,1314.13,gold gains as global growth concerns dent risk appetite,gold firms but stays on track for first weekly loss in three,"gold holds firm on trade, growth worries; heads for weekly fall",#N/A,#N/A,#N/A
30,232,02/11/2019,1307.8,gold inches down as trade worries boost dollar,gold slips as dollar gains on global trade jitters,gold slips as u.s.-china trade row supports dollar,gold slips as trade tensions buoy dollar; u.s-china talks in focus,#N/A,#N/A
31,231,02/12/2019,1310.24,gold steady as sino-u.s. trade hopes drag dollar,gold firms as dollar eases on u.s.-china trade hopes,gold gains as dollar stalls on u.s.-china trade talks,gold edges up on dollar pull back; focus on u.s.-china trade talks,#N/A,#N/A
32,230,02/13/2019,1307.7,gold up on fed rate pause signals; strong equities limit gains,gold little changed as dollar pauses on hopes for trade truce,gold rises on weaker dollar; investors seek more clarity on trade talks,#N/A,#N/A,#N/A
33,229,02/14/2019,1312,gold range bound as dollar caps gains; investors eye trade talks,gold prices firm as dollar eases on grim u.s. retail sales,gold rises as weak u.s. economic data drags dollar lower,gold steadies as investors seek clarity on us-china trade talks,gold rises on hopes of fed pause; trade talks in focus,#N/A
34,228,02/15/2019,1321.27,gold scales 2-week peak; palladium matches record high,gold hits two-week high as weak u.s. data lifts likelihood of fed pause,gold rangebound as investors eye trade talks; weak data supports,#N/A,#N/A,#N/A
35,227,02/18/2019,1326.47,gold steady near 10-month high; palladium hits record level,palladium soars to record high; gold at near 10-month peak,palladium soars to record high on supply deficit; gold gains,gold at 2-wk high on trade deal hopes; palladium peaks,#N/A,#N/A
36,226,02/19/2019,1339.68,gold prices hold at 10-month highs; markets await fed minutes,"palladium eyes $1,500/oz in record surge; gold hits 10-mth high","palladium at record high, closes in on $1,500; gold gains",gold steady at 10-month peak; palladium scales new high,#N/A,#N/A
37,225,02/20/2019,1340.59,gold hovers near 10-mth peak amid steady dollar after fed minutes,"palladium surges past $1,500/oz for first time, gold steadies","palladium breaks $1,500 barrier for first time; gold also rises","palladium breaks $1,500 level on supply woes; weak dollar lifts gold",#N/A,#N/A
38,224,02/21/2019,1325.91,"gold prices edge up on trade talk hopes, but fed stance caps gains",gold falls off 10-month peak after fed stance; palladium retreats,"gold slips from 10-month peak, palladium eases off record high",gold steadies off 10-month peak as fed minutes support dollar,#N/A,#N/A
39,223,02/22/2019,1327.6,gold eyes second weekly gain as focus shifts to growth fears,gold heads for second weekly gain on growth concerns,gold heads for 2nd weekly gain on growth concerns,gold prices rise on subdued dollar; fed stance limits gains,#N/A,#N/A
40,222,02/25/2019,1327.55,"palladium soars past $1,550 on mine strike fears; gold firm",palladium hits record high on strike threat; gold steady,gold firms as trade hopes dent dollar; palladium surges to record,gold gains as dollar sags against yuan on china tariffs delay,#N/A,#N/A
41,221,02/26/2019,1329.2,"gold steady amid subdued dollar after fed comments, palladium above $1,550","palladium breaches $1,550/oz as supply fears grow; gold steadies","palladium soars above $1,550 on mine strike fears; gold rises",#N/A,#N/A,#N/A
42,220,02/27/2019,1321.22,gold near 2-wk lows as dollar rebounds on sino-us trade concerns,gold slips to near two-week lows as dollar firms on trade angst,"gold consolidates in tight range, palladium holds near peak","corrected-palladium retraces after breaching $1,550; gold awaits fed (corrects feb. 26 story)","gold steady on soft dollar after fed comments; palladium near $1,550",#N/A
43,219,02/28/2019,1314.33,gold hovers near 2-wk lows as dollar gains on upbeat u.s. data,gold eyes first monthly fall in five as u.s. data buoys dollar,gold near 2-week lows as dollar rebounds over trade caution,#N/A,#N/A,#N/A
44,218,03/01/2019,1293.55,"gold falls on dollar, stocks; on track for worst week since may 2017",gold on course for worst week since november as dollar rises,gold hits two-week low as upbeat u.s. data lifts dollar,#N/A,#N/A,#N/A
45,217,03/04/2019,1287.17,gold hovers near five-week lows on firm dollar,gold dips as u.s.-china trade deal hopes lift risk appetite,gold slips to 5-week low as trade deal hopes boost risk sentiment,gold gains as dollar wilts on sino-u.s. trade deal hopes,#N/A,#N/A
46,216,03/05/2019,1288.02,gold bounces off 5-week lows as stock market rally pauses,gold dips as dollar gains on robust u.s. data,"gold sags near five-week low as sturdy dollar, stocks dent appeal",gold sags near five-week low as sturdy dollar and stocks dent appeal,"gold near 5-wk lows on firm dollar, waning safe-haven demand",#N/A
47,215,03/06/2019,1287.31,"gold steadies on growth worries, dull equities; ecb meeting eyed",gold prices hold steady with focus on global growth,"gold retreats as dollar firms, risk appetite improves",gold edges above five-week low as market rally pauses,#N/A,#N/A
48,214,03/07/2019,1286.07,gold steadies as ecb stance drag equities; u.s. jobs data eyed,gold dips as dollar rises vs euro after ecb delays rate rise,gold dips to near 5-week low as dollar trumps euro post ecb,gold steady on firmer dollar ahead of ecb policy meeting,#N/A,#N/A
49,213,03/08/2019,1298.39,"gold breaches $1,300/oz as weak u.s. jobs data dents dollar",gold rebounds as dollar dips ahead of u.s. jobs data,"gold rises on bleak economic outlook, softer dollar",#N/A,#N/A,#N/A
50,212,03/11/2019,1292.63,gold inches down as updated brexit deal improves risk appetite,"gold slips on strong u.s. retail data, equities rebound","gold edges lower as equities recover, dollar steadies",gold holds near one-week peak on global slowdown worries,#N/A,#N/A
51,211,03/12/2019,1302.04,"gold hits near 2-week high on brexit woes, weaker dollar",gold gains as dollar dips on tame u.s. inflation data; brexit vote in focus,gold gains as dollar wilts on mixed cpi data; brexit vote eyed,gold rises as updated brexit deal weakens dollar vs pound,#N/A,#N/A
52,210,03/13/2019,1309.53,"gold hovers near 2-wk high on tepid u.s. data, brexit vote","gold gains on lackluster u.s. data, brexit deal doubts",gold hits 2-week high as investors seek refuge from brexit chaos,gold hits 2-week high as brexit woes boost safe-haven appeal,#N/A,#N/A
53,209,03/14/2019,1296.1,gold extends losses as equities rise on brexit delay,"gold falls 1 pct as 'no-deal' brexit fears fade, dollar rises","gold falls off $1,300/oz perch on stronger dollar, stocks","gold prices dip on dollar recovery, brexit relief",#N/A,#N/A
54,208,03/15/2019,1302.27,"palladium soars to record, gold moves back up above $1,300/oz","palladium surges to record, while gold reclaims $1,300/oz","gold rises on softer dollar, global uncertainties",#N/A,#N/A,#N/A
55,207,03/18/2019,1303.5,gold prices edge up on tepid dollar ahead of fed meeting,"palladium peaks on supply crunch, gold steadies above $1,300",palladium hits record high; gold gains on dovish fed talk,gold gains for 2nd day as dollar dips ahead of fed meet,#N/A,#N/A
56,206,03/19/2019,1306.26,gold prices slip as dollar firms ahead of fed decision,"palladium breaks above $1,600 in record run on supply woes","palladium hits record high above $1,600/oz on plans for russia export ban",palladium hits record high as supply woes mount on likely russia ban,#N/A,#N/A
57,205,03/20/2019,1315.53,refile-gold near 3-week peak on dovish fed; palladium at record high,palladium scales new peak; gold up as fed leaves rates steady,palladium peaks as supply woes persist; gold steady ahead of fed,palladium hits record high; gold dips ahead of fed decision,#N/A,#N/A
58,204,03/21/2019,1308.66,gold slips as equities gain on robust u.s. data,"gold off 3-week highs as u.s. data lifts dollar, palladium peaks",gold hits 3-week high as fed stalls 2019 rate hikes; palladium scales new peak,gold hits 3-week high as fed defers rate hikes; palladium sets record,#N/A,#N/A
59,203,03/22/2019,1313.42,gold gains as growth concerns dent risk appetite,gold gains as poor euro zone data stokes risk-off sentiment,gold prices steady below 3-wk high as stock markets rise,#N/A,#N/A,#N/A
60,202,03/25/2019,1321.35,"gold near one-month peak as yields, equities slide",gold hits 3-week high as global growth fears lift safe-haven appeal,gold gains as u.s. economic concerns spur safe-haven buying,gold rises as u.s. recession fears boost safer assets,#N/A,#N/A
61,201,03/26/2019,1316.52,"gold gains on soft equities, u.s. data","gold retreats as dollar rebounds, risk appetite grows","gold dips as equities claw back, bond yields gain","gold prices slip as equities, u.s. bonds yields gain",#N/A,#N/A
62,200,03/27/2019,1309.46,palladium falls further on technical sell-off; gold firms,palladium tumbles 7 pct as stunning rally hits buffers,"gold creeps higher on falling yields, global growth worries",gold steadies as firm dollar offsets safe-haven appeal,#N/A,#N/A
63,199,03/28/2019,1291.65,gold edges up after steep fall; palladium faces worst week since end-2015,"palladium slumps 7 pct in selloff, gold sheds over 1 pct",palladium slumps 6 pct as slide from record high gathers steam,"palladium extends losses, hits 5-wk low as investors book profit",#N/A,#N/A
64,198,03/29/2019,1292.41,gold rises as dollar dips; palladium snaps losing streak,gold gains as dollar dips; palladium pares losses,gold faces worst month since aug; palladium eyes biggest weekly dip in 3 yrs,#N/A,#N/A,#N/A
65,197,04/01/2019,1287.45,"gold near 3-week lows as dollar, equities rise",gold edges lower after upbeat u.s. manufacturing data,gold edges lower as stocks rally on improved risk appetite,gold slips as positive china data boosts risk assets,#N/A,#N/A
66,196,04/02/2019,1291.85,gold inches lower as equities hover near 7-month peak,gold firms as u.s. stocks retreat; strong dollar caps gains,"gold holds near four-week low as equities, dollar climb",gold hits 3-week low as easing growth worries lift equities,#N/A,#N/A
67,195,04/03/2019,1292,"gold edges higher as dollar eases, equities rally pauses",gold dips as equities rally on trade optimism,gold steadies as dollar dips; equity rally caps gains,gold dips as stocks' rally to 7-month peak dent appeal,#N/A,#N/A
68,194,04/04/2019,1292.2,gold steadies above 10-week low; focus on u.s. jobs data,gold bounces off 10-week low as investors shrug off robust u.s. data,gold dips to four-week low as dollar rises on robust weekly jobs data,gold gains on softer dollar; focus on u.s.-china talks,#N/A,#N/A
69,193,04/05/2019,1291.62,gold eases as stocks gain after mixed u.s. jobs data,gold dips as stocks gain on trade hopes; focus on u.s. jobs data,corrected-gold dips towards 10-week low ahead of u.s. jobs data,#N/A,#N/A,#N/A
70,192,04/08/2019,1298.1,"gold holds near one-week high on subdued dollar, equities","gold tops 1-week high on dollar weakness, pause in stocks rally","gold scales one-week high as dollar slips, stocks rally pauses",corrected-gold prices hit one-week high as dollar turns lower,#N/A,#N/A
71,191,04/09/2019,1304.72,gold trades near 2-week high on u.s.-eu trade tensions,"gold hits highest in more than a week; dollar, stocks retreat",gold scales more than one-week high as dollar wilts,"gold near 1-week high as dollar loses ground, oil rallies",#N/A,#N/A
72,190,04/10/2019,1308.2,gold trades near 2-week high on dovish central banks,"gold up near 2-week high as ecb, fed give dovish signals",gold steadies near two-week peak on economic growth fears,"gold near 2-week peak on trade tensions, growth worries",#N/A,#N/A
73,189,04/11/2019,1292.31,gold prices steady after steep fall,gold sheds over 1% as strong u.s. data lifts dollar,"gold dips below $1,300 on firm dollar and stocks",gold holds near two-week high on dovish central banks,#N/A,#N/A
74,188,04/12/2019,1290.4,gold prices inch lower as strong equities weigh,"gold steady on falling dollar, eyes first weekly gain in three weeks","gold rises as dollar slips, set for first weekly gain in three",#N/A,#N/A,#N/A
75,187,04/15/2019,1288.5,gold pressured as trade optimism lifts risk appetite,gold slips to one-week low as trade deal hopes boost risk appetite,gold eases to 1-week low as trade optimism lifts risk sentiment,"gold dips to 1-week low as equities gain, slowdown fears recede",#N/A,#N/A
76,186,04/16/2019,1276.6,"gold near 4-month low as stocks, dollar weigh","gold falls 1 pct to 2019 low as equities, dollar gain",gold hits near 3-month low as easing growth concerns lift equities,gold prices drop as trade hopes stoke risk appetite,#N/A,#N/A
77,185,04/17/2019,1274.3,gold touches 2019 low as china data lifts risk assets,gold eases as china data boosts risk sentiment,gold holds near four-month low as china data lifts riskier assets,gold near 4-month low as china gdp fuels risk sentiment,#N/A,#N/A
78,184,04/18/2019,1274.43,advisory-no precious market report on april 19,gold steady as stronger dollar offsets weak europe data,gold inches up as sluggish euro zone data rekindles growth fears,gold slips to 2019 low as global economic outlook improves,#N/A,#N/A
79,183,04/22/2019,1274.73,"gold edges up on u.s.-iran jitters; firm dollar, stocks limit gains","gold holds steady on softer dollar, u.s.-iran tensions","gold recovers from 4-month low, tracks oil price rally","gold rebounds from near 4-month low, oil rally lends support",#N/A,#N/A
80,182,04/23/2019,1271.51,"gold prices dip as stock markets, dollar climb","gold drops to four-month low on stronger dollar, stocks","gold falls to 4-month low on firm dollar, risk sentiment",gold eases as strong equities check support from iran sanctions,#N/A,#N/A
81,181,04/24/2019,1274.82,gold eases as dollar hovers near 2-year high,"gold prices inch up off 4-month low, still pressured by strong dollar",gold edges up from multi-month low as dollar and equities pause,gold slips towards 4-month low as robust dollar dents appeal,#N/A,#N/A
82,180,04/25/2019,1278.74,gold eyes first weekly gain since march as growth concerns linger,corrected-gold scales one-week peak as equities and dollar ease,gold firms as weak data puts focus back on growth risks,"gold gains on weak economic data, firm dollar caps gains",#N/A,#N/A
83,179,04/26/2019,1286.2,gold scales near 2-week peak as dollar dips after u.s. gdp data,gold eyes weekly gain as dollar slips after u.s. gdp data,gold eyes first weekly gain in five as slowdown concerns loom,#N/A,#N/A,#N/A
84,178,04/29/2019,1280.5,"gold edges up on equity blip, market eyes data, fed",palladium eyes biggest fall in two years; gold dips on u.s. data,gold slips from more than one-week high as data lifts equities,"gold falls as u.s., china data boost equities",#N/A,#N/A
85,177,04/30/2019,1283.25,gold steady as markets brace for fed decision,gold firms as dollar weakens with fed policy meet in focus,gold edges up as weak chinese data dampens risk sentiment,gold gains as disappointing china data bruises asia stocks,#N/A,#N/A
86,176,05/01/2019,1277.15,gold steady near one-week low as fed clouds rate cut bets,gold slides to one-week low as dollar revives post-fed,gold prices inch lower on strong equities; fed decision in focus,gold prices ease as equities gain before u.s. fed decision,"gold prices dip on firm equities, focus shifts to fed decision",#N/A
87,175,05/02/2019,1270.84,gold holds near 4-mth low as rate-cut hopes dwindle,gold drops to 4-month low after u.s. fed douses rate cut hopes,gold falls to 1-week low after fed dashes rate cut hopes,gold falls to 1-week low as fed ambiguity clouds rate-cut bets,#N/A,#N/A
88,174,05/03/2019,1276.6,gold eyes biggest daily gain in two months as dollar retreats,corrected-gold eyes worst week since end-march ahead of u.s. jobs data,gold holds near 4-month low as fed stance hoists dollar,#N/A,#N/A,#N/A
89,173,05/06/2019,1282.93,"gold gains as ""tariff-man"" trump dents trade hopes, risk sentiment",gold firms as u.s.-china trade escalation dampens risk taking,gold steadies as trump's tariff threat supports dollar,gold gains as trump's tariff threat unnerves global markets,#N/A,#N/A
90,172,05/07/2019,1284.92,gold firms as sino-u.s. trade concerns dampen risk appetite,gold edges up as u.s.-china trade jitters weigh on equities,gold firms as sino-u.s. trade spat dents risk sentiment,gold gains as risk appetite dips on trump's tariff threat,#N/A,#N/A
91,171,05/08/2019,1281.45,gold prices firm as u.s.-china trade tensions heat up,gold slips from 3-week high on u.s.-china trade deal prospects,gold rises to more than 3-week high as trade concerns unnerve markets,gold hits 1-week high as trade jitters dampen risk appetite,#N/A,#N/A
92,170,05/09/2019,1283.82,gold prices buoyed as u.s.-china trade tensions mount,"gold rises on trade uncertainty, palladium falls to four-month low",gold firms as investors seek safety before u.s.-china trade talks,gold prices hold firm ahead of u.s.-china trade talks,#N/A,#N/A
93,169,05/10/2019,1286,gold on track for weekly gain due to u.s.-china trade tension; palladium soars,gold holds gains as u.s. hikes tariff on chinese goods,gold holds steady after u.s. tariff hike takes effect,#N/A,#N/A,#N/A
94,168,05/13/2019,1301.82,"gold retakes $1,300 on china tariff retaliation",gold eyes best day in 3-months as china hits back over u.s. tariffs,gold falls as u.s.-china trade stand-off weighs on yuan,gold prices drop as sino-u.s. trade uncertainty dents yuan,#N/A,#N/A
95,167,05/14/2019,1297.23,gold steadies off 1-month peak on sino-u.s. trade talk hopes,"gold off 1-month peak as trade optimism buoys dollar, equities",gold slips off 1-month peak amid optimism on u.s.-china trade concerns,gold steadies near 1-month peak as trade woes lift safe-haven demand,#N/A,#N/A
96,166,05/15/2019,1296.6,gold holds steady as rising equities counter safe-haven demand,gold flat as rising equities counter safe haven demand,gold steadies as stocks retreat; trade uncertainty persists,gold slips from 1-month peak on sino-u.s. trade talk hopes,#N/A,#N/A
97,165,05/16/2019,1285.98,gold edges lower as improved risk sentiment dents safe-haven demand,gold set to post worst day in a month as equities rebound,gold dips on technical selling and stronger dollar,gold steadies as trade optimism dims on huawei sanctions,#N/A,#N/A
98,164,05/17/2019,1277.5,"gold slides to two-week low, faces biggest weekly loss in a month","gold struggles for direction as dollar firms, equities dip",gold prices wobble as risk sentiment improves,#N/A,#N/A,#N/A
99,163,05/20/2019,1277.51,gold eases as dollar steals safe-haven thunder,"gold steadies as equities dip, focus turns to fed minutes",gold dips to two-week low as dollar holds more allure,gold hits 2-week low as dollar eclipses metal's safe-haven appeal,gold near 2-week low as dollar eclipses safe-haven appeal,#N/A
100,162,05/21/2019,1274.74,gold holds near 2-week low on firm dollar ahead of fed minutes,"gold falls below 2-week low on strong dollar, stocks","gold drops to more than two-week low as dollar, equities gain",gold eases as placid fed supports dollar,#N/A,#N/A
101,161,05/22/2019,1274.32,"gold prices steady, buoyed by worries over sino-u.s. trade tensions",gold holds steady above two-week low after fed minutes,"gold steadies as dollar, stocks pull back; fed minutes in focus",gold hovers near 2-week low on strong dollar ahead of fed minutes,#N/A,#N/A
102,160,05/23/2019,1284.25,"refile-gold hovers above $1,280 as dollar recoils on u.s. data blow",gold prices climb 1% as dollar pulls back from 2-year high,gold firms as equities sink; strong dollar caps gains,"gold prices steady as trade woes, fed stance boost dollar",#N/A,#N/A
103,159,05/24/2019,1292.8,"gold eyes weekly gain as dollar eases, bets for fed rate cut grow","gold eases as equities climb, but on track for weekly gain","gold firms above $1,280 as weak u.s. data rekindles rate-cut hopes",#N/A,#N/A,#N/A
104,158,05/27/2019,1285.86,gold inches up as no end in sight for u.s.-china trade talks,gold edges up to 1-week high as u.s.-china trade worries persist,gold hits 1-week high on simmering u.s.-china trade spat,#N/A,#N/A,#N/A
105,157,05/28/2019,1279.98,gold steady as global economy fears buoy safe-haven assets,gold prices off one-week high as u.s.-china trade tensions lift dollar,corrected-gold prices off one-week high as u.s.-china trade tensions lift dollar,corrected-gold prices ease off one-week peak as dollar rebounds,corrected-gold eases as dollar bounces back from multi-week lows,corrected-gold eases from 1-week high as dollar nudges up
106,156,05/29/2019,1279.96,gold steady as strong dollar offsets support from global growth woes,"gold draws support from u.s.-china trade, global downturn fears",gold gains as trade tensions stoke global growth worries,gold firms as trade worries sour risk appetite; dollar caps gains,#N/A,#N/A
107,155,05/30/2019,1290.55,gold edges towards monthly gain on u.s. rate cut expectations,gold rebounds to two-week peak as u.s. data boosts fed rate cut hopes,"gold near 1-week low as dollar, bonds emerge as preferred safe haven bets","gold slips as strong dollar, bond rally offset boost from growth woes",#N/A,#N/A
108,154,05/31/2019,1305.6,gold surges to seven-week high as trump tariff threat rattles markets,gold hits two-week high after latest trump tariff threat,"gold set for 1st monthly gain in 4 on trump tariff threat, fed cut hopes",#N/A,#N/A,#N/A
109,153,06/03/2019,1325.24,gold holds near 3-month peak as trade fears boost safe-haven demand,gold jumps to over 3-month peak as trade fears spur safe-haven buying,gold hits 2-month high as global tensions bolster safe-haven demand,gold hits 2-month high as recession concerns burnish safe-haven appeal,#N/A,#N/A
110,152,06/04/2019,1325.43,gold holds near 3-month high on fed rate cut expectations,gold steadies after hitting near 3-month peak on rate cut hopes,gold hits more than 3-month peak as bets on u.s. rate cut grow,"gold firms near 3-month peak on slowdown fears, fed rate views",#N/A,#N/A
111,151,06/05/2019,1331.05,gold prices ease off 15-week peak as dollar rises,gold hovers close to 15-week high as rate cut hopes fuel demand,"gold hits 3-month high on trade tensions, hopes for fed rate cut","gold scales over 3-month peak on hopes of fed rate cut, softer dollar",#N/A,#N/A
112,150,06/06/2019,1333.59,"gold gains luster as fed rate cut bets, trade tensions boost demand",gold climbs toward 2019 highs on expectation of fed rate cut,gold climbs towards 2019 highs on expectation of fed rate cut,"gold prices edge up on trade fears, rate cut hopes",#N/A,#N/A
113,149,06/07/2019,1340.52,gold eyes biggest weekly gain since march 2018 on rate cut views,gold eyes best week in 2019 on rate cut views; u.s. jobs data in focus,corrected-gold set for best week in 2019 on rate cut views; eyes on u.s. jobs data,corrected-gold steady amid fed rate-cut bets; u.s. jobs data in focus,#N/A,#N/A
114,148,06/10/2019,1329.38,gold steadies on fresh u.s.-china trade worries,gold falls 1% as u.s.-mexico deal lifts risk sentiment,corrected-gold rallies to a 14-month crest as weak u.s. jobs data dents dollar,gold drops from 14-month high as u.s.-mexico deal lifts risk assets,gold retreats sharply as u.s.-mexico deal curbs safe-haven demand,#N/A
115,147,06/11/2019,1327.85,gold prices steady as u.s.-china trade concerns persist,"gold dips slightly on profit booking, u.s.-china trade optimism",gold slips to more than 1-week low as mexico tariff reprieve boosts equities,gold draws support from u.s.-china trade worries after sharp sell-off,#N/A,#N/A
116,146,06/12/2019,1333.68,"gold steady amid fed rate cut views, trade uncertainty","gold climbs on fed rate cut speculation, growth concerns",gold gains as u.s.-china trade woes subdue risk appetite,gold recovers as u.s.-china trade jitters sour risk appetite,#N/A,#N/A
117,145,06/13/2019,1344.6,"gold hits 1-wk high on fed rate cut expectations, middle east tensions in focus",gold gains as fed rate cut expectations provide support,"gold rises to 1-week high on subdued dollar, fed rate cut hopes","gold rises on fed rate cut hopes, trade worries",#N/A,#N/A
118,144,06/14/2019,1341.94,"gold retreats on robust u.s. retail sales data, but holds at 14-month peak","gold hits 14-month high on growth woes, middle east tensions","gold breaks above $1,350 level as growth woes lift safe-haven demand",#N/A,#N/A,#N/A
119,143,06/17/2019,1339.78,gold holds steady ahead of fed meeting,gold slips as rate cut expectations ease ahead of fed meet,gold drifts off 14-month peak as investors focus on fed,gold prices ease as dollar firms; fed meeting in focus,#N/A,#N/A
